image,component,n_components,gt_px,sam_score,dice_raw,iou_raw,dice_post,iou_post,dice_tightbox,secs
0124.png,0,1,1976,0.866,0.9324,0.8733,0.9321,0.8728,0.8812,1.03
0126.png,0,1,963,0.832,0.9608,0.9246,0.9608,0.9246,0.8432,0.94
0133.png,0,1,3089,0.904,0.8618,0.7571,0.8611,0.7561,0.7812,0.98
0134.png,0,1,1992,0.838,0.9622,0.9272,0.9622,0.9272,0.8781,1.14
0136.png,0,4,98,0.829,0.7901,0.6531,0.7901,0.6531,0.6933,1.1
0136.png,1,4,5555,0.949,0.9687,0.9393,0.9687,0.9393,0.9304,0.1
0136.png,2,4,158,0.826,0.7656,0.6203,0.7656,0.6203,0.7049,0.05
0136.png,3,4,103,0.827,0.8309,0.7107,0.8333,0.7143,0.7168,0.05
0143.png,0,1,360,0.887,0.9437,0.8934,0.9437,0.8934,0.9425,0.92
0146.png,0,1,152,0.879,0.9091,0.8333,0.9014,0.8205,0.8485,0.96
0164.png,0,3,165,0.831,0.8146,0.6872,0.8171,0.6907,0.7742,0.91
0164.png,1,3,1121,0.563,0.8192,0.6938,0.8189,0.6933,0.7588,0.05
0164.png,2,3,292,0.715,0.8566,0.7492,0.8576,0.7508,0.8193,0.04
0177.png,0,1,523,0.776,0.8999,0.818,0.8988,0.8162,0.7918,0.9
0180.png,0,3,984,0.836,0.8807,0.7868,0.8805,0.7866,0.8736,0.94
0180.png,1,3,2053,0.866,0.9302,0.8695,0.9402,0.8871,0.9283,0.04
0180.png,2,3,942,0.893,0.9045,0.8257,0.904,0.8247,0.8481,0.05
0190.png,0,1,1631,0.818,0.7554,0.607,0.7543,0.6056,0.695,0.93
0192.png,0,2,2182,0.888,0.9566,0.9167,0.9566,0.9167,0.8552,0.97
0192.png,1,2,1218,0.891,0.9319,0.8725,0.9326,0.8737,0.9305,0.06
0201.png,0,1,2641,0.823,0.9497,0.9043,0.9495,0.9039,0.9366,0.97
0203.png,0,2,1057,0.81,0.9088,0.8328,0.9088,0.8328,0.894,1.0
0203.png,1,2,6290,0.914,0.9735,0.9484,0.9737,0.9487,0.9485,0.05
0208.png,0,1,2756,0.913,0.9398,0.8865,0.9402,0.8871,0.8835,1.0
0211.png,0,1,3910,0.845,0.8802,0.786,0.879,0.7842,0.8918,0.98
0213.png,0,1,2269,0.889,0.9631,0.9288,0.9631,0.9288,0.828,1.0
0217.png,0,1,2058,0.87,0.9737,0.9487,0.9739,0.9492,0.8658,1.06
0233.png,0,1,285,0.86,0.9144,0.8423,0.9144,0.8423,0.8485,1.0
0235.png,0,1,898,0.858,0.9392,0.8854,0.9392,0.8854,0.834,1.02
0245.png,0,1,74,0.693,0.5972,0.4257,0.5962,0.4247,0.5875,1.0
0251.png,0,1,192,0.81,0.9212,0.8539,0.9212,0.8539,0.853,0.97
0256.png,0,1,2498,0.901,0.9637,0.93,0.9637,0.9299,0.9372,0.99
0259.png,0,3,1168,0.897,0.9104,0.8356,0.9103,0.8354,0.8555,0.96
0259.png,1,3,1272,0.87,0.882,0.789,0.882,0.789,0.8437,0.04
0259.png,2,3,329,0.864,0.793,0.6571,0.793,0.6571,0.7151,0.05
0262.png,0,1,853,0.868,0.9684,0.9388,0.9684,0.9388,0.9513,0.97
0276.png,0,1,1146,0.851,0.8963,0.812,0.8943,0.8088,0.859,0.94
0278.png,0,1,558,0.76,0.9416,0.8897,0.9416,0.8897,0.8399,0.95
0284.png,0,1,735,0.867,0.9526,0.9096,0.9526,0.9096,0.8718,0.94
0289.png,0,1,1025,0.843,0.9629,0.9285,0.9629,0.9285,0.8624,0.94
0291.png,0,1,1569,0.906,0.947,0.8993,0.9469,0.8992,0.9237,0.94
0300.png,0,2,5270,0.947,0.9817,0.964,0.9817,0.964,0.9189,0.91
0300.png,1,2,637,0.897,0.9463,0.8981,0.9463,0.8981,0.9428,0.04
0301.png,0,2,738,0.856,0.9128,0.8396,0.9128,0.8396,0.8189,0.9
0301.png,1,2,2271,0.868,0.9672,0.9365,0.9672,0.9365,0.9196,0.04
0303.png,0,2,553,0.85,0.9232,0.8574,0.9222,0.8557,0.7991,0.9
0303.png,1,2,2016,0.883,0.9228,0.8567,0.922,0.8553,0.8513,0.05
0322.png,0,1,543,0.863,0.9564,0.9164,0.9564,0.9164,0.8862,0.91
0326.png,0,1,15858,0.916,0.8942,0.8086,0.894,0.8083,0.8271,0.9
0334.png,0,4,73,0.655,0.7778,0.6364,0.7692,0.625,0.688,0.93
0334.png,1,4,242,0.597,0.6667,0.5,0.675,0.5094,0.6205,0.04
0334.png,2,4,2713,0.864,0.9393,0.8856,0.9393,0.8856,0.8941,0.05
0334.png,3,4,124,0.727,0.6532,0.485,0.6551,0.4871,0.641,0.04
0337.png,0,2,717,0.79,0.8878,0.7983,0.8897,0.8013,0.8607,0.93
0337.png,1,2,459,0.829,0.8237,0.7002,0.8254,0.7027,0.7732,0.05
0339.png,0,2,614,0.845,0.9114,0.8372,0.9121,0.8384,0.7965,0.9
0339.png,1,2,1846,0.877,0.9382,0.8835,0.9389,0.8848,0.8965,0.04
0341.png,0,1,212,0.76,0.737,0.5836,0.737,0.5836,0.731,0.92
0349.png,0,2,230,0.855,0.9263,0.8627,0.9213,0.8541,0.8052,0.93
0349.png,1,2,1469,0.829,0.8578,0.7509,0.8572,0.7502,0.8236,0.05
0355.png,0,1,2130,0.889,0.9732,0.9479,0.973,0.9474,0.9251,0.97
0356.png,0,1,6585,0.919,0.9717,0.9449,0.9717,0.9449,0.9075,0.96
0363.png,0,1,4820,0.901,0.9271,0.8641,0.927,0.8639,0.836,0.97
0365.png,0,1,20164,0.915,0.9433,0.8927,0.9433,0.8927,0.8664,0.97
0369.png,0,1,3338,0.902,0.9699,0.9416,0.9701,0.9419,0.9539,0.95
0375.png,0,1,3416,0.9,0.986,0.9725,0.9863,0.973,0.9587,0.97
0376.png,0,1,821,0.804,0.9117,0.8377,0.9116,0.8376,0.8577,0.96
0382.png,0,1,17204,0.81,0.9484,0.9018,0.9448,0.8953,0.8989,1.0
